Website;Privacy_Link;Privacy_Status;ToS_Link;ToS_Status;Privacy_Selector;Privacy_Remove;ToS_Selector;ToS_Remove
telekom.de;https://www.telekom.de/datenschutzhinweise/download/051.pdf;200;https://www.telekom.de/datenschutzhinweise/download/051.pdf;200;::PDF::;;::PDF::;
google.de;https://google.de/intl/de/policies/privacy/;200;https://google.de/intl/de/policies/terms/;200;body;script;body;script
amazon.de;https://amazon.de/gp/help/customer/display.html?nodeId=201909010&ref_=footer_privacy;200;https://amazon.de/gp/help/customer/display.html?nodeId=201909000&ref_=footer_cou;200;.help-service-content;;.help-service-content;
rzone.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
t-online.de;https://t-online.de/#datenschutz-manager;200;Nicht gefunden;n/a;main;script, nav.grid, header.grid, header, svg, svg.w-full, aside.shrink-0, aside, aside.p-12, aside.px-24, aside.py-16, div.z-teaser-hero-slider-navigation, ul.absolute, div.style_slidingContainer__TJT9f;;
spiegel.de;https://www.spiegel.de/datenschutz-spiegel;200;https://www.spiegel.de/nutzungsbedingungen;200;main;footer, header, svg#spon-twitter-xl, svg#spon-facebook-xl, svg#spon-mail-xl, svg#spon-copylink-xl, svg#spon-share-xl, svg#spon-twitter-l, svg#spon-facebook-l, svg#spon-mail-l, svg#spon-messenger-l, svg#spon-whatsapp-l, svg#spon-copylink-l, svg#spon-chevron-up-f-m, svg#spon-chevron-down-f-m, svg, svg#spon-external-flag-m, svg.align-middle, svg#spon-end-mark-l;main;footer, header, svg#spon-twitter-xl, svg#spon-facebook-xl, svg#spon-mail-xl, svg#spon-copylink-xl, svg#spon-share-xl, svg#spon-twitter-l, svg#spon-facebook-l, svg#spon-mail-l, svg#spon-messenger-l, svg#spon-whatsapp-l, svg#spon-copylink-l, svg#spon-mm-flag-l, svg#spon-11f-flag-l, svg.align-middle, svg#spon-external-flag-l, svg#spon-end-mark-l
welt.de;https://ec.europa.eu/info/sites/default/files/1_de_annexe_acte_autonome_cp_part1_v3.pdf;200;https://www.welt.de/bin/190129_WeltN24_AGB-Honorarregelungen_01-2019.pdf_bn-188589821.pdf;200;::PDF::;;::PDF::;
bild.de;https://cdn.klarna.com/1.0/shared/content/policy/data/de_de/data_protection.pdf;200;https://www.bild.de/corporate-site/agb/bild-de/artikel-agb-2952414.bild.html;200;::PDF::;;.article-body;
otto.de;https://d.otto.de/files/anfrageformular_ottopayments_otto.de.pdf;200;https://d.otto.de/files/20250901_Widerrufsbelehrung_OTTO.pdf;200;::PDF::;;::PDF::;
ebay.de;https://static.ebayinc.com/assets/Uploads/Documents/Responsible-AI-Policy.pdf;200;https://ir.ebaystatic.com/cr/v/c01/help/policy/policy/AGB_DE_2024.pdf;200;::PDF::;;::PDF::;
focus.de;https://www.focus.de/intern/datenschutzerklaerung-datenschutzerklaerung-fuer-die-webseite-www-focus-de_id_6846331.html;200;https://www.focus.de/intern/agb-der-focus-online-group-gmbh-agb-focus-online-group-gmbh_id_10064693.html;200;body;script, script#vike_pageContext, script#vike_globalContext, style, nav, nav.Footer-Subframe-Links, nav.Footer-Partner, footer.Footer, header.Header, header, meta#icon-set-name, svg, svg.Footer-Icon-Svg, div#menu-themen, div#menu-services, div.Header-Menu-Btn, a.Share-Link, div.Header-Container-Menu, div.Header-Menu-Tabs-Wrapper, div.Header-Menu-Tabs, span.Header-Menu-Tabs--Selected, div.Header-Menu-Container, div.Header-Menu-Item, div.Header-Menu-Logo, div.Menu-Dropdown-Wrapper, a.Menu-Dropdown, div.Header-Menu-Wrapper, ul.Header-Menu-List, li.Menu-Inner-Dropdown, div.Menu-Inner-Dropdown-Wrapper, a.Ad-Link, a.Header-Menu-Tabs--Selected;body;script, script#vike_pageContext, script#vike_globalContext, nav, nav.Footer-Subframe-Links, nav.Footer-Partner, footer.Footer, header.Header, header, meta#icon-set-name, svg, svg.Footer-Icon-Svg, div#menu-themen, div#menu-services, div.Header-Menu-Btn, a.Share-Link, div.Header-Container-Menu, div.Header-Menu-Tabs-Wrapper, div.Header-Menu-Tabs, span.Header-Menu-Tabs--Selected, div.Header-Menu-Container, div.Header-Menu-Item, div.Header-Menu-Logo, div.Menu-Dropdown-Wrapper, a.Menu-Dropdown, div.Header-Menu-Wrapper, ul.Header-Menu-List, li.Menu-Inner-Dropdown, div.Menu-Inner-Dropdown-Wrapper, a.Ad-Link
kleinanzeigen.de;Nicht gefunden;n/a;https://themen.kleinanzeigen.de/nutzungsbedingungen/;200;;;"[role=""main""]";
n-tv.de;https://n-tv.de/ntvintern/Datenschutzerklaerung-article15745191.html;200;Nicht gefunden;n/a;.wrapper-article;svg.ShareElements_icon__yvCyW, svg, div.social-share_social-share__AIZAa, div.ArticleShare_share__tS1mE, div.ArticleShare_share-items___DaDy, div.ShareElements_elements__InC3o, a.ShareElements_whatsapp__TDmo0, button.ArticleShare_mobile__wWCgK, div.ArticleShare_follow__aU_uC, img.ArticleShare_icon__FsrC2;;
merkur.de;https://www.merkur.de/ueber-uns/datenschutz/;200;https://www.merkur.de/ueber-uns/agb/;200;article;meta;article;meta
mobile.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
joyclub.de;https://www.joyclub.de/datenschutzerklaerung/;200;https://www.joyclub.de/nutzungsbedingungen/;200;.container;div.open_menu_wrapper, div.main_navigation_top_area_logo, button.menu_toggle, div.menu_toggle_burger, div.container, div.user_navigation_group, ul.main_navigation_menu, li.menu_title;.container;div.open_menu_wrapper, div.main_navigation_top_area_logo, button.menu_toggle, div.menu_toggle_burger, div.container, div.user_navigation_group, ul.main_navigation_menu, li.menu_title
ladies.de;https://ladies.de/nojs/datenschutz;200;Nicht gefunden;n/a;#content;header, a.open-cookie-modal-trigger;;
ndr.de;https://ndr.de/service/datenschutz;200;Nicht gefunden;n/a;article;header.articlehead, h2#4-Einsatz-von-Cookies, h2#6-Social-Media-und-Inhalte-von-Drittanbietern;;
bund.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
web.de;https://web.de/datenschutz/#.pc_page.homepage.index.footer_4.datenschutz;200;https://agb-server.web.de/webdeagb;200;body;script, nav.fullwidth, footer#footer, header#header;body;script, footer#footer, header#header
ioam.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
admatic.de;https://admatic.de/privacy-policy;200;Nicht gefunden;n/a;#main-content;;;
your-server.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
infonline.de;https://www.INFOnline.de/datenschutz;200;Nicht gefunden;n/a;#content;div.elementor-element, div#szmng, div#tools;;
heise.de;https://heise.de/hintergrund/Auslegungssache-Jahresrueckblick-Datenschutz-unter-Beschuss-11113304.html;200;Nicht gefunden;n/a;body;script, script#vgwort, style, nav.md:flex, nav.a-container-header__more, nav.flex, nav.a-breadcrumb, nav.sitemap, footer.article-layout__footer, footer.article-footer, footer.ho-text-muted, footer.mt-6, footer.footer, header, header.a-container-header, header.theme-ho, header.a-article-header, header.a-u-mb-3, header.a-teaser-header, header.py-4, header.nav-bottom__collapse-toggle, noscript, svg.block, svg.hidden, svg.h-5, svg.w-6, svg.dark:hidden, svg.h-8, svg.h-10, svg.w-5, svg.heise-plus-logo, svg.m-auto, svg, svg.a-article-action__icon, svg#, svg.curtain__logo, svg.comment-button__icon, svg.share-link__icon, svg.link__svg, svg#logo-botti, svg#cp-bell-outline, svg.arrow-top, svg.heise-logo, svg.heise-way, svg.heise-claim, svg.h-4, svg.h-3, aside.stage, aside.article-layout__header-wrbng, aside.curtain__gift-container, aside.article-newsletter-subscription, aside.img-ad, aside.ad-microsites, aside.recommendations, section.article-sidebar, div#wtma_teaser_ho_cam_artikel_1, a.share-link, a-mastodon-share.share-link;;
ccc.de;https://ccc.de/de/datenschutz;200;Nicht gefunden;n/a;.article;;;
ddnss.de;https://ddnss.de/#;200;Nicht gefunden;n/a;.content;script, footer, div.social-links;;
strato.de;https://strato.de/datenschutz/;200;https://strato.de/_assets/pdf/de/Domainbedingungen.pdf;200;main;nav.sub-nav-wrapper, div.sub-nav__menuicon;::PDF::;
zeit.de;https://datenschutz.zeit.de/zon/1.5/zon.pdf;200;https://www.zeit.de/administratives/muster-widerrufsformular.pdf;200;::PDF::;;::PDF::;
ionos.de;https://ionos.de/datenschutzerklaerung;200;https://www.digicert.com/content/dam/digicert/pdfs/legal/master-services-agreement-de.pdf;200;body;script#show-body, script, script#__NEXT_DATA__, nav.tw-relative, nav, footer.tw-bg-ionos-blue-700, svg, svg#ICON, div.navigationFlyoutLink;::PDF::;
mpg.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
kicker.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
zalando.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
sueddeutsche.de;https://www.sueddeutsche.de/sz/9.31/sz.pdf;200;https://www.sueddeutsche.de/sz_abo/2.1/sz_abo.pdf;200;::PDF::;;::PDF::;
telefonica.de;https://telefonica.de/datenschutz-portal;200;https://telefonica.de/file/public/465/Telefonica-Germany-Einkaufs-AGB-01-2018.pdf?attachment=1;200;body;script, style, nav, footer, header, svg, div#page-navmenu, div#page-navigation, ul#page-nav-topmenu, div#scp-header-content, button.page-sitemenu-button, div.par-path-bar-social, ul.par-path-bar-social-icons, div#sp1, button.page-nav-label, div#, div.par-logo-carpet-social-media;::PDF::;
tagesschau.de;https://tagesschau.de/datenschutz;200;Nicht gefunden;n/a;article.container;nav.socialbuttons, svg.icon, h2#7-Einsatz-von-Cookies, h2#9-metatagesschau-Social-Media, ul.socialbuttons__list, li.socialbuttons__list__item, span.socialbuttons__icon, span.socialbuttons__subline, span.socialbuttons__icon--functional;;
second-ns.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
tagesspiegel.de;https://tagesspiegel.de/verlag-der-tagesspiegel-datenschutzerklarung-383383.html;200;Nicht gefunden;n/a;#main-content;nav.tspMbl, header.tspAi, meta, svg.tspMbk, svg.tspPb5, svg.tspPb6, svg.tspPb7, svg.tspPb8, svg.tspPb4;;
bahn.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
hosteurope.de;Nicht gefunden;n/a;Nicht gefunden;n/a;;;;
